#{"t_start": 1676997645.5759246, "env_id": "PathColav3d-v0"}
r,l,t
-20076.19021,3063,19601.837916
-20133.335938,1421,19619.141614
-812.438018,517,19628.066409
-20255.536787,3631,19674.497333
-20115.697379,1289,19694.911727
-20020.009954,1515,19713.263165
-3489.037278,1544,19736.082609
-1253.405968,591,19741.471215
-1950.772118,1002,19754.564042
-20095.508939,3135,19795.582675
-1464.255968,635,19805.456921
-20146.962643,1705,19829.445268
-7320.347883,1691,19849.034791
-20106.482062,2010,19875.871521
-20077.395606,1617,19899.295284
-1963.954227,910,19912.012183
-1547.880682,780,19919.18882
-2895.539208,1064,19937.35469
-20166.317153,1247,19953.04458
-2409.811282,1292,19969.321874
-20029.908061,2102,19997.54027
-11313.556597,2134,20025.110703
-20070.230104,2742,20062.854252
-1815.099812,981,20075.639524
-20161.945254,856,20087.581796
-20016.740465,1199,20102.834791
-1640.821931,785,20114.349354
-2153.894745,680,20120.697654
-1064.240498,688,20131.346809
-20148.368981,1128,20145.70646
-1459.711146,827,20157.148592
-20099.031072,1005,20170.518935
-20111.782116,1008,20183.691052
-1292.687979,615,20189.457239
-1381.261756,719,20200.310141
-20178.687581,1149,20215.211838
-20169.215704,4372,20272.479556
-1487.50402,660,20282.761866
-1170.465641,570,20292.014753
-3696.55324,2296,20321.92303
-20010.576584,2022,20349.198579
-1427.448647,751,20360.218141
-20001.809118,2095,20388.208076
-17481.96609,2838,20423.1851
-20042.893169,4092,20477.348131
-20151.97264,3086,20518.711153
-2992.738248,830,20530.759504
-1801.775075,892,20543.170242
-1284.884612,699,20553.762389
-746.248708,587,20559.197799
-2925.969743,1259,20579.354604
-1410.59716,609,20584.804878
-1056.958326,575,20594.512973
-20075.293062,2144,20622.395093
-20029.939035,2178,20650.778386
-7304.501553,2859,20690.470445
-20098.516947,2397,20721.242948
-20110.377704,1331,20737.815404
-20100.45547,2154,20765.992694
-20133.771113,2136,20798.415799
-20264.269304,2396,20829.323763
-20077.884924,1860,20854.755217
-20055.739769,1820,20879.916885
-20194.709087,1810,20900.857224
-2083.488777,816,20912.643378
-1624.609406,654,20922.961955
-3579.870663,1410,20939.98306
-20039.265982,1378,20956.960834
-20228.447381,1644,20980.697963
-2050.147351,1006,20994.211495
-791.524157,530,21003.422641
